283/75;284/0-1	Carpenter's Landing
284/2, Ship: Phanauet Channel Route
283/76-77	Bibiki Bay
284/3, Ship: Manaclipper Route
283/28	Uleguerand Range
283/79	Attohwa Chasm
283/96	Oldton Movalpolos
283/97	Newton Movalpolos
283/98-100	Hall of Transference
283/101	Promyvion - Holla
283/102	Promyvion - Dem
283/103	Promyvion - Mea
283/104	Promyvion - Vazhl
283/105	Lufaise Meadows
283/106	Misareaux Coast
283/107-109	Tavnazian Safehold
283/110-111;283/125	Phomiuna Aqueducts
283/112-113	Sacrarium
283/126, Sealion's Den
283/80-95, Pso'Xja
283/114-115, Riverne - Site #B01
283/116-117, Riverne - Site #A01
283/118, Al'Taieu
283/119-120, Grand Palace of Hu'Zxoi
283/121-124	The Garden of Ru'Hmet
283/127, Grand Palace of Hu'Zxoi
